No.,Student ID,Course Code, Course ID,Enrolment Date
1,21000,ITP,3456,10/01/23
2,21000,DSA,7890,10/02/23
3,21000,DMS,1234,10/03/23
4,21001,WD,5678,10/04/23
5,21001,SE,2345,10/06/23
6,21002,AI,6789,10/07/23
7,21002,ITP,3456,10/08/23
8,21002,DSA,7890,10/09/23
9,21003,DMS,1234,10/10/23
10,21003,WD,5678,10/11/23
11,21003,ML,9012,10/12/23
12,21004,SE,2345,10/13/23
13,21004,AI,6789,10/14/23
14,21004,ITP,3456,10/15/23
15,21005,DSA,7890,10/16/23
16,21005,DMS,1234,10/17/23
17,21005,WD,5678,10/18/23
18,21006,ML,9012,10/19/23
19,21006,SE,2345,10/20/23
20,21006,AI,6789,10/21/23
21,21007,ITP,3456,10/22/23
22,21007,DSA,7890,10/23/23
23,21007,DMS,1234,10/24/23
24,21008,WD,5678,10/25/23
25,21008,ML,9012,10/26/23
26,21008,SE,2345,10/27/23
27,21009,AI,6789,10/28/23
28,21009,ITP,3456,10/29/23
29,21009,DSA,7890,10/30/23
30,21010,DMS,1234,10/31/23
31,21010,WD,5678,11/01/23
32,21010,ML,9012,11/02/23
33,21011,SE,2345,11/03/23
34,21011,AI,6789,11/04/23
35,21011,ITP,3456,11/05/23
36,21012,DSA,7890,11/06/23
37,21012,DMS,1234,11/07/23
38,21012,WD,5678,11/08/23
39,21013,ML,9012,11/09/23
40,21013,SE,2345,11/10/23
41,21013,AI,6789,11/11/23
42,21014,ITP,3456,11/12/23
43,21014,DSA,7890,11/13/23
44,21014,DMS,1234,11/14/23
45,21015,WD,5678,11/15/23
46,21015,ML,9012,11/16/23
47,21015,SE,2345,11/17/23
48,21016,AI,6789,11/18/23
49,21016,ITP,3456,11/19/23
50,21016,DSA,7890,11/20/23
51,21017,DMS,1234,11/21/23
52,21017,WD,5678,11/22/23
53,21017,ML,9012,11/23/23
54,21018,SE,2345,11/24/23
55,21018,AI,6789,11/25/23
56,21018,ITP,3456,11/26/23
57,21019,DSA,7890,11/27/23
58,21019,DMS,1234,11/28/23
59,21019,WD,5678,11/29/23
60,21020,ML,9012,11/30/23
61,21020,SE,2345,12/01/23
62,21020,AI,6789,12/02/23
63,21021,ITP,3456,12/03/23
64,21021,DSA,7890,12/04/23
65,21021,DMS,1234,12/05/23
66,21022,WD,5678,12/06/23
67,21022,ML,9012,12/07/23
68,21022,SE,2345,12/08/23
69,21023,AI,6789,12/09/23
70,21023,ITP,3456,12/10/23
71,21023,DSA,7890,12/11/23
72,21024,DMS,1234,12/12/23
73,21024,WD,5678,12/13/23
74,21024,ML,9012,12/14/23
75,21025,SE,2345,12/15/23
76,21025,AI,6789,12/16/23
77,21025,ITP,3456,12/17/23
78,21026,DSA,7890,12/18/23
79,21026,DMS,1234,12/19/23
80,21026,WD,5678,12/20/23
81,21027,ML,9012,12/21/23
82,21027,SE,2345,12/22/23
83,21027,AI,6789,12/23/23
84,21028,ITP,3456,12/24/23
85,21028,DSA,7890,12/25/23
86,21028,DMS,1234,12/26/23
87,21029,WD,5678,12/27/23
88,21029,ML,9012,12/28/23
89,21029,SE,2345,12/29/23
90,21030,AI,6789,12/30/23
91,21030,ITP,3456,12/31/23
92,21030,DSA,7890,01/01/24
93,21031,DMS,1234,01/02/24
94,21031,WD,5678,01/03/24
95,21031,ML,9012,01/04/24
96,21032,SE,2345,01/05/24
97,21032,AI,6789,01/06/24
98,21032,ITP,3456,01/07/24
99,21033,DSA,7890,01/08/24
100,21033,DMS,1234,01/09/24
101,21033,WD,5678,01/10/24
102,21034,ML,9012,01/11/24
103,21034,SE,2345,01/12/24
104,21034,AI,6789,01/13/24
105,21035,ITP,3456,01/14/24
106,21035,DSA,7890,01/15/24
107,21035,DMS,1234,01/16/24
108,21036,WD,5678,01/17/24
109,21036,ML,9012,01/18/24
110,21036,SE,2345,01/19/24
111,21037,AI,6789,01/20/24
112,21037,ITP,3456,01/21/24
113,21037,DSA,7890,01/22/24
114,21038,DMS,1234,01/23/24
115,21038,WD,5678,01/24/24
116,21038,ML,9012,01/25/24
117,21039,SE,2345,01/26/24
118,21039,AI,6789,01/27/24
119,21039,ITP,3456,01/28/24
120,21040,DSA,7890,01/29/24
121,21040,DMS,1234,01/30/24
122,21040,WD,5678,01/31/24
123,21041,ML,9012,02/01/24
124,21041,SE,2345,02/02/24
125,21041,AI,6789,02/03/24
126,21042,ITP,3456,02/04/24
127,21042,DSA,7890,02/05/24
128,21042,DMS,1234,02/06/24
129,21043,WD,5678,02/07/24
130,21043,ML,9012,02/08/24
131,21043,SE,2345,02/09/24
132,21044,AI,6789,02/10/24
133,21044,ITP,3456,02/11/24
134,21044,DSA,7890,02/12/24
135,21045,DMS,1234,02/13/24
136,21045,WD,5678,02/14/24
137,21045,ML,9012,02/15/24
138,21046,SE,2345,02/16/24
139,21046,AI,6789,02/17/24
140,21001,DMS,1234,03/18/25
141,21001,AI,6789,03/18/25
142,21040,PET,0293,03/20/25
143,21000,LAW,1234,03/21/25
144,21000,LAW,1234,03/21/25
145,21000,LAW,1234,03/21/25
146,21000,PET,0293,03/22/25
147,21063,S&E,3024,03/22/25
148,21063,S&E,3024,03/22/25
149,21063,AIN,1212,03/22/25
150,21063,ML,9012,03/22/25
151,21063,DMS,1234,03/22/25
152,21044,AI,6789,03/22/25
153,21044,AIN,1212,03/22/25
154,21044,PET,0293,03/22/25
155,21044,WD,5678,03/22/25
156,21064,BCS,6789,03/22/25
157,21064,WD,5678,03/22/25
